name,description,category,value,type,state,max_attempts,flags,tags,hints,type_data
Base-ic Instinct,"I stumbled upon this peculiar string: 'ZmxhZ3t0aGlzX2lzX2Jhc2U2NF9lbmNvZGVkfQ=='. It appears to be encoded. Can you decipher it?",Cryptography,100,standard,visible,0,flag{this_is_base64_encoded},"crypto, base64, easy",This is Base64 encoding. Use an online decoder or a command-line tool to decode it.,
Source Sleuth,"I've crafted a website where the flag is cleverly concealed. Can you uncover it? Visit https://zachflower.github.io/ctfd-challenge-assets/source-sleuth/ and prove your sleuthing skills.",Web Exploitation,100,standard,visible,0,flag{w3b_s0urc3_c0de_1s_fun},"web, html, easy",Right-click on the webpage and select 'View Page Source' or use your browser's developer tools to inspect the HTML.,
Cookie Monster,"C is for Cookie, that's good enough for me... or is it? Visit https://zachflower.github.io/ctfd-challenge-assets/cookie-monster/ and manipulate the cookies to reveal the truth.",Web Exploitation,200,standard,visible,0,flag{c00k1e_m4n1pul4t10n},"web, cookies, medium",Use your browser's developer tools to edit the cookie and then refresh the page.,
Hidden Gadget,"A website harbors a secret message, invisible to the naked eye. Visit https://zachflower.github.io/ctfd-challenge-assets/hidden-gadget/ and use your inspection skills to unveil it.",Web Exploitation,300,standard,visible,0,flag{h1dd3n_3l3m3nts_4r3_fun},"web, html, inspect, medium",Use your browser's developer tools to inspect the page elements and find the hidden content.,
JS Jiggler,"Behold a calculator that multiplies two numbers to unlock secrets. Visit https://zachflower.github.io/ctfd-challenge-assets/js-jiggler/ and find the correct pair.",Web Exploitation,400,standard,visible,0,flag{j4v4scr1pt_m4n1pul4t10n},"web, javascript, medium-hard",Find two numbers whose product is 42. Check the browser console after calculating.,
Web Weaver,"A web page woven with riddles and obfuscated code awaits. Visit https://zachflower.github.io/ctfd-challenge-assets/web-weaver/ and unravel the mystery to claim the flag.",Web Exploitation,500,standard,visible,0,flag{w3b_w34v3r_m4st3r},"web, javascript, hard","Solve the riddle, decode the base64 obfuscated answer and flag parts in the JavaScript code, and check your browser notifications.",
EXIF-tastic,"A seemingly innocent photo of my cat hides secrets in its metadata. View the image at https://zachflower.github.io/ctfd-challenge-assets/exif-tastic/kitty-kitty.jpg and extract the hidden flag.",Forensics,150,standard,visible,0,flag{3x1f_d4t4_f0r_th3_w1n},"forensics, exif, image, easy",Use an online EXIF viewer or a command-line tool like 'exiftool' to inspect the image's metadata.,
String Theory,"A mysterious file from a friend contains the flag within. Download it at https://zachflower.github.io/ctfd-challenge-assets/string-theory/challenge and use your reverse engineering prowess to extract it.",Reverse Engineering,200,standard,visible,0,flag{str1ngs_4r3_c00l},"reverse engineering, strings, binary, easy",The 'strings' command in Linux can be used to find printable strings in a binary file.,
Hidden in Plain Sight,"An image appears ordinary, but a message lurks within. View it at https://zachflower.github.io/ctfd-challenge-assets/plain-sight/steg.jpg and employ steganography to reveal the secret.",Steganography,300,standard,visible,0,flag{st3g0_1s_n34t},"steganography, image, medium",Use the 'steghide' command-line tool to extract hidden data from the image. 'steghide extract -sf <filename>',
Caesar Shift,"Behold a cryptic message shrouded in mystery: 'mshn{aopz_pz_h_zljyla_tlzzhnl}'. Unravel the shift and unveil its hidden truth.",Cryptography,100,standard,visible,0,flag{this_is_a_secret_message},"crypto, caesar, easy",Caesar cipher shifts letters by a fixed amount.,
Hex Decoder,"Unlock the enigma within this string: 666c61677b6865785f69735f66756e7d. Decode it to reveal the concealed flag.",Cryptography,100,standard,visible,0,flag{hex_is_fun},"crypto, hex, easy",Convert hexadecimal to ASCII text.,
