name,description,category,value,type,state,max_attempts,flags,tags,hints,type_data
Daily #1: ROT13 Warmup,"Decode this message: 'synt{ebg13_vf_rnfl}'. It's a simple substitution cipher.",Daily,50,standard,hidden,0,flag{rot13_is_easy},"daily, crypto, easy",ROT13 rotates each letter 13 positions in the alphabet.,
Daily #2: Binary Basics,"Convert this binary to ASCII: '01100110 01101100 01100001 01100111 01111011 01100010 01101001 01101110 01100001 01110010 01111001 01011111 01110010 01101111 01100011 01101011 01110011 01111101'. What does it say?",Daily,50,standard,hidden,0,flag{binary_rocks},"daily, crypto, easy",Each 8-bit sequence represents one ASCII character.,
Daily #3: Morse Mystery,"Decode this Morse code: '..-. .-.. .- --. --... -- --- .-. ... . ..--.- -.-. --- -.. . .----.'",Daily,50,standard,hidden,0,flag{morse_code1},"daily, crypto, easy",Use a Morse code translator. Dots and dashes represent letters.,
Daily #4: ASCII Art,"The flag is hidden in the ASCII values: 102 108 97 103 123 97 115 99 105 105 95 118 97 108 117 101 115 125",Daily,50,standard,hidden,0,flag{ascii_values},"daily, crypto, easy",Convert decimal ASCII values to their corresponding characters.,
Daily #5: Backwards Thinking,"This message is simply reversed: '}sdrawkcab_si_siht{galf'",Daily,50,standard,hidden,0,flag{this_is_backwards},"daily, crypto, easy",Read the string from right to left.,
Daily #6: Octal Oddity,"Decode this octal string: 146 154 141 147 173 157 143 164 141 154 137 151 163 137 146 165 156 175",Daily,50,standard,hidden,0,flag{octal_is_fun},"daily, crypto, easy",Convert octal (base-8) numbers to ASCII characters.,
Daily #7: URL Encoded,"Decode this URL-encoded string: 'flag%7Burl%5Fencoding%5Fworks%7D'",Daily,50,standard,hidden,0,flag{url_encoding_works},"daily, crypto, easy",URL encoding uses %XX for special characters. Use a URL decoder.,
Daily #8: XOR Simple,"XOR each character of 'EKCI' with the key '5' (ASCII 53). The result is your flag format.",Daily,75,standard,hidden,0,flag{xor1},"daily, crypto, medium",XOR each byte with 53. The result spells 'flag{xor1}'.,
Daily #9: Atbash Cipher,"Decrypt this Atbash cipher: 'uozt{zgyzhs_rksvih}'. A becomes Z, B becomes Y, etc.",Daily,50,standard,hidden,0,flag{atbash_cipher},"daily, crypto, easy","Atbash reverses the alphabet: A↔Z, B↔Y, C↔X, etc.",
Daily #10: Leetspeak,"Translate this l33tspeak: 'fl4g{l337_5p34k_15_c00l}'",Daily,50,standard,hidden,0,flag{leet_speak_is_cool},"daily, crypto, easy","Replace numbers with letters: 4=a, 3=e, 7=t, 1=i, 5=s, 0=o",
Daily #11: Brainfuck Intro,"Execute this Brainfuck code: '++++++++++[>+++++++>++++++++++>+++>+<<<<-]>++.>+.+++++++..+++.>++.<<+++++++++++++++.>.+++.------.--------.>+.>.'",Daily,75,standard,hidden,0,flag{bf},"daily, programming, medium",Use an online Brainfuck interpreter to execute this code.,
Daily #12: NATO Phonetic,"Decode this NATO phonetic alphabet: 'Foxtrot Lima Alpha Golf { November Alpha Tango Oscar }'",Daily,50,standard,hidden,0,flag{nato},"daily, crypto, easy",Each word represents a letter in the NATO phonetic alphabet.,
Daily #13: Pig Latin,"Decode this Pig Latin: 'agflay{igpay_atinlay_unfay}'",Daily,50,standard,hidden,0,flag{pig_latin_fun},"daily, crypto, easy","In Pig Latin, the first consonant moves to the end and 'ay' is added.",
Daily #14: Braille Dots,"Decode this Braille (in dots): '⠋⠇⠁⠛⠸⠃⠗⠁⠊⠇⠇⠑⠶'",Daily,75,standard,hidden,0,flag{braille},"daily, crypto, medium",Use a Braille translator to convert dots to text.,
Daily #15: Rail Fence,"Decode this Rail Fence cipher (3 rails): 'f_afnelgacrie{l_}'",Daily,75,standard,hidden,0,flag{railfence},"daily, crypto, medium",Rail Fence cipher writes text in a zigzag pattern across rails.,
Daily #16: Vigenère Lite,"Decode with key 'KEY': 'nzek{dsqolybo_gmtlsv}'",Daily,100,standard,hidden,0,flag{vigenere_cipher},"daily, crypto, medium",Use a Vigenère cipher decoder with the key 'KEY'.,
Daily #17: Keyboard Shift,"This was typed with hands shifted one key right: 'r;sh{lruninpsr/ptovr}'",Daily,75,standard,hidden,0,flag{keyboard_shift},"daily, crypto, medium",Each letter was typed one key to the right on a QWERTY keyboard.,
Daily #18: Soundex Code,"Find the word with Soundex code F240 that completes: 'flag{____}'",Daily,100,standard,hidden,0,flag{flag},"daily, crypto, hard","Soundex F240 represents 'flag'.",
Daily #19: T9 Texting,"Decode this T9 (mobile phone) input: '3524_{8_9_8_3_9_8_4_6_4}'",Daily,75,standard,hidden,0,flag{t9_texting},"daily, crypto, medium","On old phone keypads: 2=ABC, 3=DEF, 4=GHI, 5=JKL, 6=MNO, 7=PQRS, 8=TUV, 9=WXYZ",
Daily #20: Polybius Square,"Decode this Polybius square cipher: '12 31 11 22 53 35 34 31 54 12 24 42 43 53'",Daily,75,standard,hidden,0,flag{polybius},"daily, crypto, medium",Polybius square uses 2-digit numbers to represent letters in a 5x5 grid.,
